Symptom,Medicine,Description,Alternatives
Fever,Paracetamol,Reduces fever and pain,Dolo 650, Crocin
Cold,Cetirizine,Relieves allergy and cold,Sinarest, Allegra
Headache,Ibuprofen,Pain relief,Aspirin, Naproxen
Stomach Pain,Pantoprazole,Reduces acidity,Digene, Omez
Cough,Ambroxol,Loosens mucus,Benadryl, Ascoril
Bacterial Infection,Amoxicillin,Treats bacterial infections,Augmentin
Diabetes,Metformin,Controls blood sugar,Glimepiride
Pain,Ibuprofen,Relieves pain and inflammation,Diclofenac
Acidity,Ranitidine,Reduces stomach acid,Famotidine
Dehydration,ORS Solution,Rehydrates,Electral Powder
Immunity,Vitamin C,Boosts immunity,Zincovit
Throat Infection,Azithromycin,Treats infections,Clarithromycin
